timestamp,STILL,TILTING,ON_FOOT,WALKING,IN_VEHICLE,ON_BICYCLE,UNDEFINED,RUNNING
1680871285220,81.0,,7.0,7.0,6.0,1.0,2.0,
1680871300502,96.0,,1.0,1.0,2.0,,1.0,
1680871315787,98.0,,,,,,2.0,
1680871331000,,100.0,,,,,,
1680871331043,98.0,,1.0,1.0,,,1.0,
1680871346251,82.0,,8.0,8.0,6.0,1.0,1.0,
1680871361479,99.0,,1.0,1.0,,,,
1680871376668,97.0,,1.0,1.0,,,2.0,
1680871391890,96.0,,2.0,2.0,1.0,,1.0,
1680871407088,94.0,,4.0,4.0,1.0,,1.0,
1680871422327,59.0,,23.0,23.0,10.0,5.0,1.0,
1680871437508,97.0,,1.0,1.0,1.0,,1.0,
1680871452695,99.0,,,,,,1.0,
1680871468238,99.0,,,,,,1.0,
1680871483472,95.0,,2.0,2.0,1.0,,2.0,
1680871500236,38.0,,35.0,35.0,13.0,7.0,2.0,1.0
1680871515432,40.0,,36.0,36.0,12.0,5.0,2.0,1.0
1680871530569,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680871545747,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680871560894,40.0,,27.0,27.0,16.0,7.0,2.0,
1680871576113,45.0,,16.0,16.0,14.0,18.0,1.0,
1680871591391,39.0,,32.0,32.0,12.0,4.0,2.0,
1680871606578,96.0,,1.0,1.0,1.0,,1.0,
1680871621895,99.0,,,,,,1.0,
1680871637120,99.0,,,,,,1.0,
1680871649969,99.0,,,,,,1.0,
1680871655201,99.0,,,,,,1.0,
1680871670393,96.0,,1.0,1.0,1.0,,1.0,
1680871685558,,100.0,,,,,,
1680871685602,97.0,,,,1.0,,2.0,
1680871694842,,100.0,,,,,,
1680871694881,44.0,,14.0,14.0,31.0,2.0,2.0,
1680871710097,,100.0,,,,,,
1680871710141,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680871725327,84.0,,10.0,10.0,1.0,3.0,1.0,
1680871740595,,100.0,,,,,,
1680871740664,88.0,,7.0,7.0,2.0,2.0,,
1680871755913,97.0,,,,1.0,,2.0,
1680871771165,96.0,,1.0,1.0,1.0,,2.0,
1680871786438,99.0,,,,,,1.0,
1680871801694,96.0,,1.0,1.0,1.0,,1.0,
1680871816961,99.0,,,,,,1.0,
1680871832177,97.0,,1.0,1.0,,,2.0,
1680871847395,96.0,,1.0,1.0,1.0,,1.0,
1680871862622,98.0,,,,,,2.0,
1680871877878,97.0,,1.0,1.0,1.0,,1.0,
1680871893170,98.0,,,,,,2.0,
1680871908460,99.0,,,,,,1.0,
1680871920263,99.0,,,,,,1.0,
1680871935522,97.0,,,,1.0,,2.0,
1680871950802,96.0,,1.0,1.0,1.0,,1.0,
1680871966071,96.0,,1.0,1.0,1.0,,1.0,
1680871981304,96.0,,1.0,1.0,1.0,,1.0,
1680871996594,96.0,,1.0,1.0,1.0,,1.0,
1680872001888,99.0,,,,,,1.0,
1680872017207,99.0,,,,,,1.0,
1680872027634,99.0,,,,,,1.0,
1680872034144,99.0,,,,,,1.0,
1680872048101,97.0,,,,2.0,,1.0,
1680872063356,99.0,,,,,,1.0,
1680872078732,99.0,,,,,,1.0,
1680872093970,96.0,,1.0,1.0,2.0,,,
1680872109212,96.0,,1.0,1.0,1.0,,1.0,
1680872124516,99.0,,,,,,1.0,
1680872139733,98.0,,,,,,2.0,
1680872154985,97.0,,,,1.0,,2.0,
1680872170250,98.0,,,,1.0,,1.0,
1680872185506,99.0,,,,,,1.0,
1680872200776,99.0,,,,,,1.0,
1680872216044,99.0,,,,,,1.0,
1680872231279,99.0,,,,,,1.0,
1680872246564,99.0,,,,,,1.0,
1680872261852,99.0,,,,,,1.0,
1680872277118,99.0,,,,,,1.0,
1680872292393,99.0,,,,,,1.0,
1680872307646,99.0,,,,,,1.0,
1680872322917,99.0,,,,,,1.0,
1680872338135,96.0,,,,1.0,,2.0,
1680872353435,99.0,,,,,,1.0,
1680872368665,99.0,,,,,,1.0,
1680872383902,97.0,,,,1.0,,2.0,
1680872400249,97.0,,,,1.0,,2.0,
1680872415512,99.0,,,,,,1.0,
1680872423773,68.0,,4.0,4.0,14.0,,1.0,
1680872439528,,100.0,,,,,,
1680872439595,96.0,,1.0,1.0,1.0,,2.0,
1680872454851,51.0,,26.0,26.0,9.0,7.0,4.0,
1680872470090,96.0,,2.0,2.0,1.0,,1.0,
1680872485469,,100.0,,,,,,
1680872485830,61.0,,19.0,19.0,9.0,6.0,1.0,
1680872500990,94.0,,2.0,2.0,,2.0,2.0,
1680872516169,96.0,,2.0,2.0,,,2.0,
1680872531392,98.0,,,,,,2.0,
1680872547348,99.0,,,,1.0,,,
1680872562589,55.0,,3.0,3.0,35.0,,1.0,
1680872577801,98.0,,,,,,2.0,
1680872593164,99.0,,,,,,1.0,
1680872609188,99.0,,,,,,1.0,
1680872625184,99.0,,,,,,1.0,
1680872641185,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680872657138,99.0,,,,,,1.0,
1680872673115,96.0,,1.0,1.0,1.0,,1.0,
1680872688375,97.0,,1.0,1.0,1.0,,1.0,
1680872697957,96.0,,,,3.0,,1.0,
1680872711675,100.0,,,,,,,
1680872726946,96.0,,1.0,1.0,1.0,,1.0,
1680872742182,97.0,,,,1.0,,1.0,
1680872757523,99.0,,,,,,1.0,
1680872773031,96.0,,1.0,1.0,1.0,,1.0,
1680872788014,98.0,,,,1.0,,1.0,
1680872803288,97.0,,,,2.0,,1.0,
1680872820247,74.0,,1.0,1.0,18.0,,2.0,
1680872835550,99.0,,,,,,1.0,
1680872850806,99.0,,,,,,1.0,
1680872866022,96.0,,1.0,1.0,1.0,,2.0,
1680872881348,97.0,,,,1.0,,2.0,
1680872896565,98.0,,,,,,2.0,
1680872911799,97.0,,,,1.0,,2.0,
1680872927070,91.0,,1.0,1.0,4.0,,2.0,
1680872942331,52.0,,3.0,3.0,34.0,1.0,1.0,
1680872959042,99.0,,,,,,1.0,
1680872974281,98.0,,,,1.0,,1.0,
1680872989517,97.0,,,,1.0,,2.0,
1680873005847,91.0,,3.0,3.0,3.0,,2.0,
1680873020071,95.0,,2.0,2.0,1.0,,2.0,
1680873035297,97.0,,,,1.0,,2.0,
1680873050506,98.0,,,,1.0,,1.0,
1680873065672,97.0,,1.0,1.0,,,2.0,
1680873080895,98.0,,,,,,2.0,
1680873096085,98.0,,,,,,2.0,
1680873111339,99.0,,,,,,1.0,
1680873126514,97.0,,1.0,1.0,1.0,,1.0,
1680873141772,99.0,,,,,,1.0,
1680873157016,,100.0,,,,,,
1680873157063,62.0,,9.0,9.0,13.0,3.0,2.0,
1680873172392,,100.0,,,,,,
1680873172440,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680873187720,79.0,,6.0,6.0,7.0,1.0,3.0,
1680873202993,98.0,,,,1.0,,1.0,
1680873218254,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680873233520,58.0,,3.0,3.0,29.0,,2.0,
1680873248753,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680873264031,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680873279275,98.0,,,,,,2.0,
1680873294577,72.0,,3.0,3.0,15.0,,3.0,
1680873309840,98.0,,,,1.0,,1.0,
1680873325068,97.0,,,,1.0,,2.0,
1680873340312,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680873355574,51.0,,,,46.0,,1.0,
1680873370848,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680873387825,97.0,,1.0,1.0,1.0,,,
1680873402982,100.0,,,,,,,
1680873418185,96.0,,1.0,1.0,1.0,,1.0,
1680873425148,96.0,,1.0,1.0,1.0,,1.0,
1680873440292,98.0,,1.0,1.0,1.0,,,
1680873455530,,100.0,,,,,,
1680873455579,70.0,,12.0,12.0,10.0,2.0,2.0,
1680873470863,49.0,,27.0,27.0,9.0,7.0,2.0,
1680873486143,98.0,,,,,,2.0,
1680873501404,99.0,,,,,,1.0,
1680873516681,97.0,,1.0,1.0,1.0,,1.0,
1680873531915,100.0,,,,,,,
1680873548106,96.0,,1.0,1.0,1.0,,1.0,
1680873564113,96.0,,1.0,1.0,1.0,,1.0,
1680873580070,96.0,,1.0,1.0,1.0,,1.0,
1680873595349,99.0,,,,,,1.0,
1680873610569,97.0,,,,1.0,,2.0,
1680873617734,99.0,,,,,,1.0,
1680873632945,94.0,,1.0,1.0,2.0,,1.0,
1680873648184,56.0,,15.0,15.0,18.0,2.0,1.0,
1680873663449,100.0,,,,,,,
1680873678678,97.0,,1.0,1.0,1.0,,1.0,
1680873693915,74.0,,11.0,11.0,9.0,1.0,1.0,
1680873709149,80.0,,6.0,6.0,9.0,,1.0,
1680873724355,99.0,,,,,,1.0,
1680873740721,97.0,,1.0,1.0,1.0,,1.0,
1680873755931,97.0,,1.0,1.0,1.0,,1.0,
1680873771148,97.0,,1.0,1.0,1.0,,1.0,
1680873786367,97.0,,1.0,1.0,1.0,,,
1680873801554,89.0,,3.0,3.0,4.0,,2.0,
1680873816818,96.0,,,,2.0,,2.0,
1680873832002,96.0,,1.0,1.0,1.0,,1.0,
1680873847220,100.0,,,,,,,
1680873862403,98.0,,,,1.0,,1.0,
1680873877650,99.0,,,,,,1.0,
1680873984359,100.0,,,,,,,
1680874003405,35.0,,12.0,12.0,31.0,2.0,3.0,
1680874027165,96.0,,1.0,1.0,1.0,,2.0,
1680874042407,99.0,,,,,,1.0,
1680874057685,98.0,,,,,,2.0,
1680874072912,99.0,,,,,,1.0,
1680874088179,97.0,,,,1.0,,2.0,
1680874103439,97.0,,,,2.0,,1.0,
1680874118767,39.0,,4.0,4.0,36.0,1.0,2.0,
1680874134074,10.0,,10.0,10.0,10.0,10.0,40.0,10.0
1680874149538,39.0,,12.0,12.0,25.0,1.0,2.0,
1680874166190,70.0,,5.0,5.0,10.0,3.0,2.0,
1680874181331,68.0,,5.0,5.0,12.0,2.0,2.0,
1680874186629,88.0,,1.0,1.0,5.0,,2.0,
1680874201886,96.0,,1.0,1.0,1.0,,2.0,
1680874217165,74.0,,5.0,5.0,9.0,3.0,2.0,
1680874232447,41.0,,4.0,4.0,11.0,32.0,3.0,
1680874247759,77.0,,2.0,2.0,2.0,16.0,2.0,
1680874263032,98.0,,,,1.0,,1.0,
1680874278288,96.0,,,,1.0,,2.0,
1680874293528,97.0,,1.0,1.0,1.0,,1.0,
1680874308807,98.0,,,,,,2.0,
1680874324084,98.0,,,,,,2.0,
1680874339356,98.0,,,,,,2.0,
1680874354643,96.0,,,,2.0,,2.0,
1680874370170,96.0,,1.0,1.0,1.0,,1.0,
1680874385487,78.0,,5.0,5.0,8.0,2.0,3.0,
1680874400742,,100.0,,,,,,
