timestamp,STILL,IN_VEHICLE,UNDEFINED,TILTING,ON_FOOT,WALKING,ON_BICYCLE,RUNNING
1681625829767,96.0,1.0,1.0,,1.0,1.0,,
1681625846918,96.0,1.0,1.0,,1.0,1.0,,
1681625864101,97.0,1.0,2.0,,,,,
1681625881306,99.0,,1.0,,,,,
1681625898513,99.0,,1.0,,,,,
1681625915739,99.0,,1.0,,,,,
1681625926839,99.0,,1.0,,,,,
1681625944074,99.0,,1.0,,,,,
1681626431438,,,,100.0,,,,
1681626431531,45.0,19.0,3.0,,14.0,14.0,4.0,
1681626463538,40.0,31.0,2.0,,7.0,7.0,5.0,
1681626500298,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681626517337,96.0,3.0,1.0,,,,,
1681626534232,48.0,23.0,3.0,,9.0,9.0,5.0,
1681627264596,100.0,,,,,,,
1681627281774,96.0,2.0,1.0,,,,,
1681627550163,100.0,,,,,,,
1681630040271,98.0,,2.0,,,,,
1681631636999,99.0,,1.0,,,,,
1681632058874,,,,100.0,,,,
1681632058929,100.0,,,,,,,
1681632859744,,,,100.0,,,,
1681632859759,99.0,,1.0,,,,,
1681633655682,100.0,,,,,,,
1681633913205,100.0,,,,,,,
1681634120751,100.0,,,,,,,
1681654118559,100.0,,,,,,,
1681654118827,100.0,,,,,,,
1681656602178,96.0,1.0,2.0,,,,,
1681659128982,100.0,,,,,,,
1681660743791,,,,100.0,,,,
1681660743935,98.0,,2.0,,,,,
1681686383486,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681686412229,97.0,1.0,2.0,,,,,
1681686429263,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681686877519,100.0,,,,,,,
1681687537098,,,,100.0,,,,
1681687537226,100.0,,,,,,,
1681687851659,100.0,,,,,,,
1681603850002,,,,100.0,,,,
1681603850027,100.0,,,,,,,
1681604342490,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681604342493,,,,100.0,,,,
1681604509687,,,,100.0,,,,
1681604509795,100.0,,,,,,,
1681604918155,100.0,,,,,,,
1681605033936,100.0,,,,,,,
1681608013337,,,,100.0,,,,
1681608013436,100.0,,,,,,,
1681612463264,44.0,27.0,2.0,,9.0,9.0,5.0,
1681612463277,,,,100.0,,,,
1681612480740,86.0,7.0,2.0,,2.0,2.0,1.0,
1681613169749,100.0,,,,,,,
1681613203493,97.0,1.0,1.0,,,,,
1681613220939,99.0,,1.0,,,,,
1681613377207,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681613411640,,,,100.0,,,,
1681613411741,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681613719315,100.0,,,,,,,
1681614034484,100.0,,,,,,,
1681614144519,100.0,,,,,,,
1681614173328,99.0,,1.0,,,,,
1681614190499,96.0,1.0,2.0,,1.0,1.0,,
1681614214622,98.0,1.0,1.0,,,,,
1681614959554,,,,100.0,,,,
1681614959657,1.0,,2.0,,97.0,97.0,,
1681615002329,,,,100.0,,,,
1681615002417,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681615040481,,,,100.0,,,,
1681615040540,,,2.0,,98.0,98.0,,
1681615078026,,,,100.0,,,,
1681615078141,2.0,1.0,2.0,,92.0,92.0,1.0,2.0
1681634907193,,,,100.0,,,,
1681634907237,100.0,,,,,,,
1681635862961,,,,100.0,,,,
1681635862988,100.0,,,,,,,
1681636015383,,,,100.0,,,,
1681636015489,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681636041952,1.0,,2.0,,95.0,95.0,,2.0
1681636196101,,,,100.0,,,,
1681636196132,,,3.0,,97.0,97.0,,
1681636228965,,,2.0,,97.0,97.0,1.0,
1681636261894,1.0,1.0,3.0,,93.0,93.0,1.0,1.0
1681636299473,,1.0,1.0,,93.0,93.0,4.0,1.0
1681636316647,,,1.0,,92.0,92.0,7.0,
1681636341193,,,1.0,,93.0,93.0,6.0,
1681636374608,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681636418925,,,,100.0,,,,
1681636418952,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681636436129,,,,100.0,,,,
1681636436168,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681636468856,,,,100.0,,,,
1681636468964,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681636670086,,,,100.0,,,,
1681636670126,100.0,,,,,,,
1681636838590,57.0,8.0,2.0,,19.0,19.0,7.0,
1681636855701,100.0,,,,,,,
1681637982164,,,,100.0,,,,
1681637982428,43.0,20.0,3.0,,13.0,13.0,5.0,
1681637998171,45.0,14.0,1.0,,22.0,22.0,8.0,
1681638426953,97.0,2.0,1.0,,,,,
1681638658215,99.0,,1.0,,,,,
1681639731606,,,,100.0,,,,
1681639731766,100.0,,,,,,,
1681615483524,,,,100.0,,,,
1681615483564,99.0,,1.0,,,,,
1681615510106,,,,100.0,,,,
1681615510154,100.0,,,,,,,
1681616140668,100.0,,,,,,,
1681621081499,,,,100.0,,,,
1681621081609,100.0,,,,,,,
1681622809014,100.0,,,,,,,
1681623605889,,,2.0,,97.0,97.0,,1.0
1681623646027,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681623663081,,,,100.0,,,,
1681623663127,41.0,3.0,3.0,,18.0,18.0,35.0,
1681623680138,,,,100.0,,,,
1681623680164,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681623697149,,,,100.0,,,,
1681623697182,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1681623714178,2.0,,2.0,,92.0,92.0,1.0,3.0
1680611852285,,,,100.0,,,,
1680611852309,100.0,,,,,,,
1680612076238,99.0,,1.0,,,,,
1680612792636,98.0,,1.0,,,,1.0,
1680613103885,98.0,,2.0,,,,,
1680613853105,,,,100.0,,,,
1680613853159,100.0,,,,,,,
1680615083572,,,,100.0,,,,
1680615083601,48.0,18.0,3.0,,10.0,10.0,5.0,
1680615117870,99.0,1.0,,,,,,
1680615153962,,,,100.0,,,,
1680615154059,100.0,,,,,,,
1680615374898,,,,100.0,,,,
1680615375032,99.0,,1.0,,,,,
1680615773859,98.0,,2.0,,,,,
1680616000985,99.0,,1.0,,,,,
1680616231661,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680616727568,,,,100.0,,,,
1680616727657,1.0,2.0,2.0,,89.0,89.0,4.0,2.0
1680616769610,,,,100.0,,,,
1680616769617,10.0,10.0,40.0,,10.0,10.0,10.0,10.0
1680617009268,,,,100.0,,,,
1680617009298,36.0,7.0,2.0,,35.0,35.0,13.0,1.0
1680617318510,45.0,12.0,2.0,,19.0,19.0,13.0,1.0
