timestamp,TILTING,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING,STILL
1680855411374,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855428166,,1.0,1.0,,,,,98.0
1680855445147,,2.0,,,,,,98.0
1680855462140,,1.0,,,,,,99.0
1680855479115,,1.0,1.0,,1.0,1.0,,96.0
1680855496087,,1.0,2.0,,1.0,1.0,,96.0
1680855514057,,1.0,1.0,,1.0,1.0,,96.0
1680855531033,,1.0,,,,,,99.0
1680855548025,,1.0,1.0,,,,,98.0
1680855565004,,1.0,1.0,,,,,98.0
1680855582001,,1.0,,,,,,99.0
1680855598990,,1.0,,,,,,99.0
1680855615955,,1.0,2.0,,,,,97.0
1680855632930,,1.0,1.0,,2.0,2.0,,96.0
1680855649918,,1.0,,,,,,99.0
1680855666899,,2.0,,,,,,98.0
1680855683897,,1.0,1.0,,,,,98.0
1680855700888,100.0,,,,,,,
1680855700916,,2.0,1.0,2.0,3.0,3.0,,92.0
1680855720573,100.0,,,,,,,
1680855720619,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855737608,,1.0,4.0,13.0,16.0,16.0,,64.0
1680855754610,,2.0,15.0,4.0,31.0,31.0,,40.0
1680855771617,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855788626,,1.0,81.0,,1.0,1.0,,2.0
1680855805617,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855822602,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855839575,,1.0,10.0,2.0,24.0,24.0,,54.0
1680855856551,,1.0,,,1.0,1.0,,98.0
1680855873536,,1.0,3.0,,3.0,3.0,,91.0
1680855890543,,2.0,10.0,2.0,22.0,22.0,,55.0
1680855903503,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855920489,,1.0,78.0,,3.0,3.0,,4.0
1680855937473,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855954464,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680855971449,,1.0,,,,,,99.0
1680855988456,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680856005426,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680856022408,,3.0,72.0,,1.0,1.0,,4.0
1680856039413,,1.0,83.0,,,,,2.0
1680856056392,,2.0,4.0,,6.0,6.0,,85.0
1680856073391,,1.0,1.0,,1.0,1.0,,97.0
1680856086402,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680856103355,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680856120363,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680856137348,,1.0,21.0,2.0,12.0,12.0,,53.0
1680856154324,,1.0,1.0,,2.0,2.0,,96.0
1680856171291,,2.0,,,,,,98.0
1680856188269,,1.0,1.0,,,,,98.0
1680856205254,,2.0,6.0,1.0,9.0,9.0,,77.0
1680856222257,,2.0,91.0,,1.0,1.0,,2.0
1680856239244,,2.0,96.0,,,,,1.0
1680856256241,,2.0,88.0,,3.0,3.0,,3.0
1680856273791,,1.0,8.0,2.0,27.0,27.0,,56.0
1680856290796,,40.0,10.0,10.0,10.0,10.0,10.0,10.0
1680856307803,,1.0,,8.0,90.0,90.0,1.0,
1680856324823,,2.0,,2.0,91.0,91.0,4.0,1.0
1680856342194,,2.0,,2.0,92.0,92.0,4.0,
1680856358819,,3.0,,,96.0,96.0,1.0,
1680856375783,,2.0,,1.0,96.0,96.0,1.0,
1680856392775,,1.0,,2.0,97.0,97.0,,
1680856409733,,2.0,,1.0,97.0,97.0,,
1680856423857,,2.0,1.0,1.0,96.0,96.0,,
1680856440852,,2.0,,2.0,95.0,95.0,1.0,
1680856457811,,3.0,,,97.0,97.0,,
1680856474772,,2.0,,,97.0,97.0,,1.0
1680856491747,,2.0,,,96.0,96.0,1.0,1.0
1680856508712,,2.0,,,97.0,97.0,,1.0
1680856525678,,2.0,,1.0,96.0,96.0,,1.0
1680856542652,,2.0,,,97.0,97.0,,1.0
1680856559609,,3.0,,,97.0,97.0,,
1680856576609,,1.0,,,97.0,97.0,1.0,1.0
1680856593565,,2.0,,,96.0,96.0,1.0,1.0
1680856607781,,2.0,1.0,,1.0,1.0,,96.0
1680856624746,,2.0,,1.0,96.0,96.0,,1.0
1680856641712,,1.0,,1.0,97.0,97.0,,1.0
