timestamp,STILL,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING,TILTING
1680841043597,100.0,,,,,,,
1680841076410,,,,,,,,100.0
1680841076463,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680841108219,,2.0,,,98.0,98.0,,
1680841141018,,,,,,,,100.0
1680841141076,70.0,2.0,9.0,2.0,10.0,10.0,,
1680841165397,100.0,,,,,,,
1680841189618,100.0,,,,,,,
1680841214009,100.0,,,,,,,
1680841239937,100.0,,,,,,,
1680841264214,100.0,,,,,,,
1680841288495,100.0,,,,,,,
1680841312755,100.0,,,,,,,
1680841337041,100.0,,,,,,,
1680841361339,100.0,,,,,,,
1680841385606,100.0,,,,,,,
1680841409950,100.0,,,,,,,
1680841434235,100.0,,,,,,,
1680841458479,98.0,1.0,1.0,,,,,
1680841482790,100.0,,,,,,,
1680877297216,64.0,3.0,13.0,6.0,8.0,8.0,,
1680877329825,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680877362401,41.0,3.0,19.0,14.0,11.0,11.0,,
1680877386547,98.0,1.0,1.0,,,,,
1680877411839,100.0,,,,,,,
1680877444468,57.0,2.0,22.0,5.0,5.0,5.0,,
1680877480198,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680877504414,100.0,,,,,,,
1680877537104,60.0,3.0,12.0,8.0,13.0,13.0,,
1680877569798,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680877602526,100.0,,,,,,,
1680877626733,100.0,,,,,,,
1680877654624,98.0,1.0,1.0,,,,,
1680877678816,100.0,,,,,,,
1680877703015,96.0,1.0,1.0,1.0,,,,
1680877742979,99.0,1.0,,,,,,
1680877767208,99.0,1.0,,,,,,
1680877791552,100.0,,,,,,,
1680877815756,98.0,2.0,,,,,,
1680877839769,99.0,1.0,,,,,,
1680877864343,100.0,,,,,,,
1680877896999,46.0,2.0,27.0,2.0,6.0,6.0,,
1680877921210,97.0,2.0,1.0,,,,,
1680877953885,98.0,1.0,1.0,,,,,
1680877986624,52.0,3.0,37.0,5.0,1.0,1.0,,
1680878010812,99.0,1.0,,,,,,
1680878043492,38.0,2.0,29.0,17.0,9.0,9.0,,
1680878082665,34.0,1.0,22.0,7.0,14.0,14.0,1.0,
1680878106884,100.0,,,,,,,
1680878259051,,,,,,,,100.0
1680878259100,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680878290569,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680878323280,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680878356370,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680878388873,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680878422030,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680878454761,,2.0,2.0,,95.0,95.0,,
1680878487567,1.0,1.0,6.0,1.0,88.0,88.0,1.0,
1680878521559,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680878554569,1.0,1.0,6.0,1.0,88.0,88.0,1.0,
1680878588577,,2.0,3.0,,94.0,94.0,,
1680878621255,,2.0,3.0,,95.0,95.0,,
1680878653932,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680878687468,,3.0,2.0,,95.0,95.0,,
1680878720147,,3.0,,,97.0,97.0,,
1680878752855,,3.0,6.0,1.0,89.0,89.0,,
1680878785565,,2.0,2.0,,96.0,96.0,,
1680878810550,1.0,2.0,1.0,,96.0,96.0,,
1680878843574,,2.0,2.0,,95.0,95.0,,
1680878872100,,1.0,1.0,,98.0,98.0,,
1680878905512,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680878940052,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680878973547,1.0,2.0,1.0,3.0,66.0,27.0,66.0,
1680879006597,,2.0,3.0,,95.0,95.0,,
1680879039521,,2.0,5.0,1.0,89.0,89.0,,
1680879072625,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680879105605,,2.0,2.0,,96.0,96.0,,
1680879138299,,2.0,3.0,1.0,93.0,93.0,,
1680879170991,,2.0,2.0,,96.0,96.0,,
1680879203663,,1.0,1.0,,98.0,98.0,,
1680879228591,,3.0,,,97.0,97.0,,
1680879256101,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680879292029,,,,,,,,100.0
1680879292300,4.0,2.0,3.0,2.0,88.0,88.0,,
1680879324974,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680879353733,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680879386436,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680879414189,,,,,,,,100.0
1680879414238,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680879447453,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680879480326,40.0,1.0,24.0,4.0,18.0,18.0,,
1680879513719,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680879546699,63.0,2.0,20.0,1.0,4.0,4.0,,
1680879579380,59.0,3.0,17.0,2.0,8.0,8.0,,
1680879607102,99.0,1.0,,,,,,
1680879639421,60.0,2.0,15.0,2.0,9.0,9.0,,
1680879663669,99.0,1.0,,,,,,
1680879696390,61.0,2.0,19.0,3.0,9.0,9.0,,
1680879720613,99.0,1.0,,,,,,
1680879744867,99.0,1.0,,,,,,
1680879771834,99.0,1.0,,,,,,
1680879796031,98.0,2.0,,,,,,
1680879820303,99.0,1.0,,,,,,
1680879853012,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680879877239,99.0,1.0,,,,,,
1680879901430,100.0,,,,,,,
1680879925641,,,,,,,,100.0
1680879925698,99.0,1.0,,,,,,
1680879954696,100.0,,,,,,,
1680879978892,100.0,,,,,,,
1680880004055,100.0,,,,,,,
1680880028557,100.0,,,,,,,
1680880053556,100.0,,,,,,,
1680880079536,100.0,,,,,,,
1680880099233,100.0,,,,,,,
1680880123548,100.0,,,,,,,
1680880148039,100.0,,,,,,,
1680880172227,100.0,,,,,,,
1680880198108,100.0,,,,,,,
1680880222365,100.0,,,,,,,
1680880247101,100.0,,,,,,,
1680880272068,100.0,,,,,,,
1680880296324,100.0,,,,,,,
1680880321550,100.0,,,,,,,
1680880345757,100.0,,,,,,,
1680880371588,100.0,,,,,,,
1680886272888,100.0,,,,,,,
1680888439360,100.0,,,,,,,
1680888456332,100.0,,,,,,,
1680841515531,98.0,1.0,1.0,,,,,
1680841539763,100.0,,,,,,,
1680841564050,100.0,,,,,,,
1680841583031,100.0,,,,,,,
1680841608120,98.0,1.0,1.0,,,,,
1680841632392,100.0,,,,,,,
1680841656684,100.0,,,,,,,
1680841891047,100.0,,,,,,,
1680842227870,100.0,,,,,,,
1680843087755,100.0,,,,,,,
1680843101298,,,,,,,,100.0
1680843101361,,2.0,,,97.0,97.0,1.0,
1680843135510,,2.0,,2.0,91.0,91.0,5.0,
1680843159804,,3.0,,,97.0,97.0,,
1680843192635,,,,,,,,100.0
1680843192692,1.0,1.0,1.0,1.0,93.0,93.0,2.0,
1680843217138,,,,,,,,100.0
1680843217186,,2.0,,,98.0,98.0,,
1680843250055,,,,,,,,100.0
1680843250071,,,2.0,97.0,1.0,1.0,,
1680843283581,,1.0,8.0,91.0,,,,
1680843316477,,,,,,,,100.0
1680843316540,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680843351714,,,,,,,,100.0
1680843351787,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680843384517,,1.0,,99.0,,,,
1680843417211,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680843471718,2.0,2.0,2.0,2.0,86.0,86.0,4.0,
1680843504434,2.0,2.0,,1.0,93.0,93.0,2.0,
1680843537076,1.0,2.0,,2.0,88.0,88.0,7.0,
1680843561260,,,,,,,,100.0
1680843561310,,3.0,,,96.0,96.0,1.0,
1680843594482,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680843618785,,,,,,,,100.0
1680843618839,100.0,,,,,,,
1680843644072,100.0,,,,,,,
1680843669570,100.0,,,,,,,
1680843694164,100.0,,,,,,,
1680843718555,100.0,,,,,,,
1680843743043,100.0,,,,,,,
1680843772658,100.0,,,,,,,
1680843797071,100.0,,,,,,,
1680843821296,100.0,,,,,,,
1680843846070,100.0,,,,,,,
1680843870271,100.0,,,,,,,
1680843894561,100.0,,,,,,,
1680843919038,100.0,,,,,,,
1680843943262,100.0,,,,,,,
1680843967569,100.0,,,,,,,
1680843992277,100.0,,,,,,,
1680844016457,100.0,,,,,,,
1680844041560,100.0,,,,,,,
1680844066071,100.0,,,,,,,
1680844090559,100.0,,,,,,,
1680844115068,100.0,,,,,,,
1680845336978,,,,,,,,100.0
1680845337013,,3.0,1.0,1.0,94.0,94.0,1.0,
1680845369647,,,,,,,,100.0
1680845369700,3.0,3.0,1.0,3.0,88.0,88.0,1.0,
1680845402398,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680845436561,,,,,,,,100.0
1680845436610,2.0,2.0,1.0,4.0,87.0,87.0,4.0,
1680845470552,,,,,,,,100.0
1680845470598,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680845503283,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680845537051,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680845576042,,,,,,,,100.0
1680845576132,2.0,2.0,2.0,3.0,86.0,86.0,3.0,
1680845608795,38.0,2.0,26.0,2.0,13.0,13.0,,
1680845641438,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680845674181,40.0,3.0,28.0,1.0,8.0,8.0,,
1680845711646,,,,,,,,100.0
1680845711699,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680845744548,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680845777553,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680845810287,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680845843145,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680845875832,,,,,,,,100.0
1680845875886,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680845908599,1.0,2.0,,2.0,94.0,94.0,1.0,
1680845942566,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680845976571,,,,,,,,100.0
1680845976618,52.0,3.0,17.0,2.0,11.0,11.0,,
1680846001813,100.0,,,,,,,
1680846027056,100.0,,,,,,,
1680846051325,100.0,,,,,,,
1680846084055,100.0,,,,,,,
1680846108259,100.0,,,,,,,
1680846132542,100.0,,,,,,,
1680846157548,100.0,,,,,,,
1680846182070,100.0,,,,,,,
1680846206268,100.0,,,,,,,
1680846231049,100.0,,,,,,,
1680846256054,100.0,,,,,,,
1680846280248,100.0,,,,,,,
1680846304463,100.0,,,,,,,
1680846328681,100.0,,,,,,,
1680846353017,100.0,,,,,,,
1680846377264,100.0,,,,,,,
1680846401546,100.0,,,,,,,
1680846426563,100.0,,,,,,,
1680846451012,100.0,,,,,,,
1680846476032,100.0,,,,,,,
1680846500272,100.0,,,,,,,
1680847012690,,,,,,,,100.0
1680847012729,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680847038036,,2.0,,,98.0,98.0,,
1680847062260,,,,,,,,100.0
1680847062357,,2.0,,,98.0,98.0,,
1680847087567,,2.0,,,98.0,98.0,,
1680847111795,,2.0,,,98.0,98.0,,
1680847144476,,2.0,,,97.0,97.0,1.0,
1680847169498,,,,,,,,100.0
1680847169567,,3.0,,,97.0,97.0,,
1680847203096,,,,,,,,100.0
1680847203134,1.0,3.0,2.0,2.0,89.0,89.0,2.0,
1680847235816,,,,,,,,100.0
1680847235855,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680847268769,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680847302048,1.0,,1.0,4.0,91.0,91.0,3.0,
1680847334775,1.0,3.0,,1.0,89.0,89.0,6.0,
1680847367623,10.0,40.0,10.0,10.0,10.0,10.0,10.0,
1680847392772,100.0,,,,,,,
1680847418055,100.0,,,,,,,
1680847442541,100.0,,,,,,,
1680847467054,100.0,,,,,,,
1680847490560,100.0,,,,,,,
1680847514785,100.0,,,,,,,
1680847540050,100.0,,,,,,,
1680847565034,100.0,,,,,,,
1680847589287,100.0,,,,,,,
1680847614048,100.0,,,,,,,
1680847638551,100.0,,,,,,,
1680847663054,100.0,,,,,,,
1680847687278,100.0,,,,,,,
1680847711995,100.0,,,,,,,
