timestamp,TILTING,STILL,IN_VEHICLE,ON_FOOT,WALKING,ON_BICYCLE,UNDEFINED,RUNNING
1680870512750,,100.0,,,,,,
1680836821246,,99.0,,,,,1.0,
1680836836491,,99.0,,,,,1.0,
1680836851756,,99.0,,,,,1.0,
1680836874270,,100.0,,,,,,
1680836898997,,100.0,,,,,,
1680836916162,,100.0,,,,,,
1680836921401,,99.0,,,,,1.0,
1680836926627,,99.0,,,,,1.0,
1680836931807,,99.0,,,,,1.0,
1680836937029,,99.0,,,,,1.0,
1680836942283,,99.0,,,,,1.0,
1680836947518,,99.0,,,,,1.0,
1680837283533,,100.0,,,,,,
1680837420266,,45.0,11.0,24.0,24.0,11.0,3.0,
1680837444039,,100.0,,,,,,
1680837479243,,1.0,,96.0,96.0,,2.0,1.0
1680837496365,,,,97.0,97.0,,3.0,
1680837516982,,1.0,1.0,96.0,96.0,1.0,1.0,
1680837533022,,3.0,1.0,88.0,88.0,3.0,3.0,2.0
1680837546820,100.0,,,,,,,
1680837546875,,2.0,3.0,88.0,88.0,2.0,2.0,1.0
1680837562141,,,,97.0,97.0,,2.0,1.0
1680837577473,,,,96.0,96.0,1.0,2.0,1.0
1680837592662,,,,97.0,97.0,1.0,1.0,1.0
1680837607809,,,,96.0,96.0,1.0,2.0,1.0
1680837622943,,1.0,,97.0,97.0,,2.0,
1680837633754,,1.0,,96.0,96.0,1.0,2.0,
1680837638873,,1.0,,96.0,96.0,1.0,2.0,
1680837649744,,,,97.0,97.0,,2.0,1.0
1680837666921,,,,96.0,96.0,,1.0,3.0
1680837682109,,,,94.0,94.0,1.0,2.0,3.0
1680837697276,,1.0,1.0,94.0,94.0,,3.0,1.0
1680837712554,100.0,,,,,,,
1680837712586,,7.0,3.0,85.0,85.0,1.0,2.0,1.0
1680837727873,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837743175,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837758483,,4.0,89.0,,,,2.0,
1680837780786,100.0,,,,,,,
1680837780831,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837787097,100.0,,,,,,,
1680837787195,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837792366,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837797553,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837802846,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837808102,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837813343,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837828611,,99.0,,,,,1.0,
1680837843835,,99.0,,,,,1.0,
1680837859094,,99.0,,,,,1.0,
1680837874406,,98.0,,1.0,1.0,,1.0,
1680837889582,,79.0,3.0,13.0,13.0,2.0,2.0,
1680837901873,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837917360,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837932638,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680837947935,100.0,,,,,,,
1680837947989,,68.0,2.0,21.0,21.0,5.0,3.0,
1680837963243,,98.0,,,,,2.0,
1680837978473,,96.0,1.0,1.0,1.0,,1.0,
1680837993679,,97.0,1.0,1.0,1.0,,,
1680838008917,,99.0,,,,,1.0,
1680838014211,,97.0,1.0,1.0,1.0,,,
1680838029618,,99.0,,,,,1.0,
1680838044849,,99.0,,,,,1.0,
1680838060082,,98.0,,,,,2.0,
1680838075353,,99.0,,,,,1.0,
1680838090594,,98.0,,,,,2.0,
1680838105800,,58.0,28.0,3.0,3.0,,2.0,
1680838121099,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680838136350,,99.0,,,,,1.0,
1680838150689,,99.0,,,,,1.0,
1680838167331,,99.0,,,,,1.0,
1680838182642,,99.0,,,,,1.0,
1680838197878,,99.0,,,,,1.0,
1680838213109,,99.0,,,,,1.0,
1680838218351,,99.0,,,,,1.0,
1680838233593,,99.0,,,,,1.0,
1680838248809,,99.0,,,,,1.0,
1680838264092,,99.0,,,,,1.0,
1680838281900,,99.0,,,,,1.0,
1680838297165,,99.0,,,,,1.0,
1680838312395,,99.0,,,,,1.0,
1680838327676,,99.0,,,,,1.0,
1680838342897,,99.0,,,,,1.0,
1680838358147,,99.0,,,,,1.0,
1680838373381,,99.0,,,,,1.0,
1680838390468,,99.0,,,,,1.0,
1680838405604,,99.0,,,,,1.0,
1680838426351,,99.0,,,,,1.0,
1680838441618,,99.0,,,,,1.0,
1680838456781,,99.0,,,,,1.0,
1680838472022,,99.0,,,,,1.0,
1680838487409,,99.0,,,,,1.0,
1680838502683,,99.0,,,,,1.0,
1680840136185,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680840161640,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680841243260,100.0,,,,,,,
1680841243279,,100.0,,,,,,
1680877575292,,100.0,,,,,,
1680877934411,,100.0,,,,,,
1680878196340,,100.0,,,,,,
1680878198897,,100.0,,,,,,
1680878198916,,100.0,,,,,,
1680878238530,,10.0,10.0,10.0,10.0,10.0,40.0,10.0
1680878272549,,100.0,,,,,,
1680878287861,,97.0,1.0,1.0,1.0,,1.0,
1680878303031,,96.0,1.0,1.0,1.0,,1.0,
1680878333885,,60.0,18.0,8.0,8.0,3.0,1.0,
1680878360963,,99.0,,,,,1.0,
1680878376122,,99.0,,,,,1.0,
1680878398506,,100.0,,,,,,
1680878428351,,100.0,,,,,,
1680878445518,,100.0,,,,,,
1680878460758,,97.0,1.0,,,,2.0,
1680878475910,,96.0,1.0,1.0,1.0,,1.0,
1680878492680,,98.0,1.0,,,,1.0,
1680878507976,,98.0,,,,,2.0,
1680878521538,,98.0,,,,,2.0,
1680878537629,,99.0,,,,,1.0,
