timestamp,TILTING,STILL,UNDEFINED,IN_VEHICLE,ON_BICYCLE,ON_FOOT,WALKING,RUNNING
1680875021327,,97.0,2.0,1.0,,,,
1680875039218,,99.0,1.0,,,,,
1680875057236,,99.0,1.0,,,,,
1680875075228,,75.0,1.0,14.0,1.0,3.0,3.0,
1680875093230,,96.0,,2.0,,1.0,1.0,
1680875224702,100.0,,,,,,,
1680875224744,,100.0,,,,,,
1680875710615,100.0,,,,,,,
1680875710704,,97.0,1.0,,,2.0,2.0,
1680875916342,,100.0,,,,,,
1680875952844,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680875981690,,100.0,,,,,,
1680875998647,,98.0,2.0,,,,,
1680876016340,,64.0,1.0,10.0,2.0,15.0,15.0,
1680876032722,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680876049703,,64.0,2.0,10.0,1.0,16.0,16.0,
1680876066685,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680876083658,,48.0,2.0,20.0,2.0,21.0,21.0,
1680876100661,,48.0,3.0,18.0,2.0,16.0,16.0,
1680876114109,,98.0,1.0,1.0,,,,
1680876131080,,97.0,1.0,1.0,,1.0,1.0,
1680876148034,,98.0,1.0,1.0,,,,
1680876165002,,97.0,1.0,1.0,,1.0,1.0,
1680876181961,,59.0,2.0,15.0,2.0,14.0,14.0,
1680876200385,,70.0,1.0,9.0,2.0,13.0,13.0,
1680876217372,,98.0,2.0,,,,,
1680876234312,,98.0,2.0,,,,,
1680876251299,,98.0,2.0,,,,,
1680876268282,,99.0,1.0,,,,,
1680876285251,,88.0,1.0,6.0,,3.0,3.0,
1680876306690,,64.0,2.0,15.0,2.0,10.0,10.0,
1680876311710,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680876316735,,62.0,2.0,16.0,2.0,14.0,14.0,
1680876321759,,38.0,2.0,27.0,4.0,19.0,19.0,
1680876326795,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680876331768,,99.0,1.0,,,,,
1680876336814,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680876341849,,46.0,2.0,21.0,3.0,19.0,19.0,
1680876346894,,99.0,1.0,,,,,
