timestamp,TILTING,STILL,UNDEFINED,IN_VEHICLE,ON_FOOT,WALKING,ON_BICYCLE,RUNNING
1680879063491,,72.0,1.0,22.0,4.0,4.0,,
1680879080477,,96.0,,2.0,1.0,1.0,,
1680879097490,,64.0,1.0,18.0,7.0,7.0,1.0,
1680879114537,,78.0,2.0,13.0,4.0,4.0,1.0,
1680879135876,,52.0,2.0,45.0,1.0,1.0,,
1680879152871,,98.0,,2.0,,,,
1680879169875,,76.0,1.0,17.0,4.0,4.0,1.0,
1680879186874,,98.0,2.0,,,,,
1680879203866,,97.0,1.0,1.0,1.0,1.0,,
1680879220867,,97.0,1.0,2.0,,,,
1680879237857,,69.0,1.0,26.0,2.0,2.0,,
1680879254852,,83.0,1.0,14.0,1.0,1.0,,
1680879271877,,87.0,2.0,10.0,1.0,1.0,,
1680879288866,,97.0,1.0,2.0,,,,
1680879305849,,98.0,1.0,1.0,,,,
1680879318767,,96.0,1.0,2.0,1.0,1.0,,
1680879335759,,98.0,1.0,,1.0,1.0,,
1680879352749,,97.0,1.0,1.0,1.0,1.0,,
1680879369736,,96.0,1.0,2.0,1.0,1.0,,
1680879386718,100.0,,,,,,,
1680879386758,,96.0,2.0,2.0,,,,
1680879403780,,64.0,2.0,8.0,9.0,9.0,14.0,
1680879420792,,55.0,3.0,20.0,15.0,15.0,4.0,
1680879437772,100.0,,,,,,,
1680879437823,,97.0,2.0,1.0,,,,
1680879454824,,72.0,3.0,9.0,8.0,8.0,6.0,
1680879471820,100.0,,,,,,,
1680879471861,,92.0,2.0,2.0,2.0,2.0,2.0,
1680879488865,,65.0,2.0,18.0,9.0,9.0,4.0,
1680879501686,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680879518695,,75.0,2.0,12.0,6.0,6.0,3.0,
1680879535702,,74.0,1.0,15.0,5.0,5.0,1.0,
1680879552704,,67.0,2.0,12.0,10.0,10.0,2.0,
1680879569687,,96.0,2.0,2.0,,,,
1680879586683,,97.0,2.0,1.0,,,,
1680879604165,,97.0,2.0,1.0,,,,
1680879621262,,97.0,2.0,1.0,,,,
1680879638270,,96.0,1.0,2.0,1.0,1.0,,
1680879655521,,97.0,2.0,1.0,,,,
1680879672265,,93.0,1.0,4.0,2.0,2.0,,
1680879684588,,86.0,1.0,9.0,3.0,3.0,,
1680879701573,,97.0,1.0,1.0,,,,
1680879718576,,98.0,1.0,1.0,,,,
1680879735606,,96.0,1.0,2.0,1.0,1.0,,
1680879752707,,97.0,2.0,,1.0,1.0,,
1680879769735,,97.0,2.0,1.0,,,,
1680879786784,,84.0,3.0,8.0,3.0,3.0,1.0,
1680879803789,,96.0,2.0,1.0,1.0,1.0,,
1680879820790,,92.0,2.0,4.0,2.0,2.0,,
1680879837798,,45.0,2.0,28.0,16.0,16.0,4.0,
1680879854811,,55.0,2.0,27.0,10.0,10.0,3.0,
1680879867492,,83.0,2.0,7.0,5.0,5.0,2.0,
1680879884508,,87.0,2.0,7.0,3.0,3.0,,
1680879901548,,59.0,2.0,20.0,11.0,11.0,4.0,
1680879918548,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680879935569,,98.0,1.0,1.0,,,,
1680879952608,,74.0,2.0,16.0,4.0,4.0,2.0,
1680879969595,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680879986602,,48.0,2.0,21.0,20.0,20.0,2.0,
1680880003609,,96.0,1.0,3.0,,,,
1680880020624,,73.0,1.0,19.0,3.0,3.0,1.0,
1680880037611,,10.0,40.0,10.0,10.0,10.0,10.0,10.0
1680880050369,,97.0,2.0,1.0,,,,
1680880067351,,96.0,2.0,1.0,1.0,1.0,,
1680880084340,,97.0,1.0,1.0,1.0,1.0,,
1680880101343,,94.0,2.0,4.0,,,,
1680880118335,,69.0,2.0,25.0,2.0,2.0,,
1680880135346,,96.0,1.0,3.0,,,,
1680880152339,,77.0,2.0,20.0,1.0,1.0,,
1680880169343,,80.0,1.0,14.0,4.0,4.0,,
1680880186343,,97.0,1.0,1.0,1.0,1.0,,
1680880203342,,97.0,1.0,,2.0,2.0,,
1680880220345,,75.0,1.0,11.0,11.0,11.0,,
1680880233337,,90.0,1.0,6.0,2.0,2.0,,
1680880250354,,99.0,1.0,,,,,
